,date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,sunshine_duration
71,2019-01-09 14:00:00+00:00,25.457,91.426956,30.72895,0.3,0.3,51.0,37.5,5.506941,168.69011,0.0
72,2019-01-09 17:00:00+00:00,24.957,91.67227,30.374634,0.0,0.0,2.0,57.0,2.6208394,195.94547,0.0
73,2019-01-09 20:00:00+00:00,24.307001,97.04243,29.773895,2.2,2.2,53.0,100.0,3.5455887,156.0375,0.0
74,2019-01-09 23:00:00+00:00,24.007,95.29454,28.709373,2.2,2.2,53.0,100.0,6.297428,149.03632,0.0
75,2019-01-10 02:00:00+00:00,27.807001,77.71473,33.422905,0.4,0.4,51.0,60.3,1.4399999,180.0,10334.845
76,2019-01-10 05:00:00+00:00,30.057001,70.09272,35.466183,0.70000005,0.70000005,51.0,41.699997,10.538843,352.14676,10800.0
77,2019-01-10 08:00:00+00:00,29.157,75.16464,34.705425,1.3000001,1.3000001,51.0,45.0,8.587338,326.97614,10800.0
78,2019-01-10 11:00:00+00:00,27.157,83.443634,32.59161,0.3,0.3,51.0,57.9,5.0142193,201.03758,10316.6455
79,2019-01-10 14:00:00+00:00,25.707,93.93957,31.55996,0.0,0.0,1.0,35.100002,4.5536795,251.56496,0.0
80,2019-01-10 17:00:00+00:00,25.057001,94.47656,30.461647,0.0,0.0,1.0,43.800003,5.2416787,254.05453,0.0
81,2019-01-10 20:00:00+00:00,24.257,95.8795,29.494156,0.0,0.0,1.0,33.600002,4.072935,224.9999,0.0
82,2019-01-10 23:00:00+00:00,23.757,96.73769,28.978233,0.0,0.0,1.0,28.5,2.7416782,203.19862,0.0
83,2019-01-11 02:00:00+00:00,29.407,72.329475,34.527817,0.0,0.0,1.0,29.7,6.28713,293.6294,10306.263
84,2019-01-11 05:00:00+00:00,30.757,69.38668,36.529953,2.8,2.8,53.0,52.800003,10.464797,319.18503,10800.0
85,2019-01-11 08:00:00+00:00,29.757,69.40738,34.354996,0.1,0.1,51.0,42.0,14.20062,329.53452,10800.0
86,2019-01-11 11:00:00+00:00,27.357,81.97717,32.902092,0.5,0.5,51.0,44.1,3.8268526,228.81418,10338.056
87,2019-01-11 14:00:00+00:00,25.757,88.47305,30.995018,0.1,0.1,51.0,33.6,4.6800003,157.3801,0.0
88,2019-01-11 17:00:00+00:00,25.407,89.78817,30.843689,0.1,0.1,51.0,60.600002,2.9024127,240.2552,0.0
89,2019-01-11 20:00:00+00:00,24.807001,91.94029,30.136574,0.70000005,0.70000005,51.0,65.100006,2.8116899,219.80553,0.0
90,2019-01-11 23:00:00+00:00,24.107,95.01066,29.541023,0.1,0.1,51.0,35.4,1.484318,165.96373,0.0
91,2019-01-12 02:00:00+00:00,28.757,76.23693,34.2471,0.1,0.1,51.0,54.9,4.829907,296.56497,10278.149
92,2019-01-12 05:00:00+00:00,30.507,72.73619,36.322166,0.4,0.4,51.0,90.0,11.435313,331.8215,10800.0
93,2019-01-12 08:00:00+00:00,29.607,72.58166,34.754223,0.8000001,0.8000001,51.0,45.0,7.653705,318.81415,10800.0
94,2019-01-12 11:00:00+00:00,26.407,89.32416,31.880322,2.8000002,2.8000002,53.0,75.299995,6.489992,176.82024,10358.686
95,2019-01-12 14:00:00+00:00,25.557001,95.063095,31.63691,0.2,0.2,51.0,68.4,3.219938,206.56499,0.0
96,2019-01-12 17:00:00+00:00,25.057001,96.47961,31.023693,0.3,0.3,51.0,59.699997,2.9024127,330.25522,0.0
97,2019-01-12 20:00:00+00:00,24.457,95.885544,30.057838,0.7,0.7,51.0,54.000004,2.4149535,243.43501,0.0
98,2019-01-12 23:00:00+00:00,24.007,96.45235,29.230606,0.0,0.0,1.0,39.300003,3.5455887,203.9625,0.0
99,2019-01-13 02:00:00+00:00,28.407,79.45089,33.93093,0.0,0.0,2.0,53.4,6.12,298.0724,10250.551
100,2019-01-13 05:00:00+00:00,27.907,82.2894,32.9467,4.7000003,4.7000003,61.0,100.0,9.885262,326.88864,10800.0
101,2019-01-13 08:00:00+00:00,28.557001,80.18659,34.720695,1.3,1.3,51.0,100.0,3.0547013,315.0001,3763.1338
102,2019-01-13 11:00:00+00:00,25.157,93.915405,30.94733,4.8,4.8,61.0,81.899994,2.5959969,146.3099,0.0
103,2019-01-13 14:00:00+00:00,24.457,95.02341,29.588924,3.3000002,3.3000002,55.0,85.5,5.00128,120.256355,0.0
104,2019-01-13 17:00:00+00:00,24.257,96.458885,29.796864,1.2,1.2,51.0,100.0,2.4149535,116.56499,0.0
105,2019-01-13 20:00:00+00:00,23.607,97.61539,28.293518,2.6000001,2.6000001,53.0,60.0,6.4096174,128.15727,0.0
106,2019-01-13 23:00:00+00:00,23.557001,96.44056,28.733189,2.8999999,2.8999999,53.0,100.0,2.0364676,135.0001,0.0
107,2019-01-14 02:00:00+00:00,27.357,81.97717,33.128136,3.8,3.8,55.0,72.0,2.2768397,288.43503,10223.556
108,2019-01-14 05:00:00+00:00,27.507,81.50468,31.893517,0.90000004,0.90000004,51.0,95.399994,11.983188,327.26477,10800.0
109,2019-01-14 08:00:00+00:00,27.207,82.70119,32.255184,0.6,0.6,51.0,77.7,7.2359104,264.2895,0.0
110,2019-01-14 11:00:00+00:00,26.107,90.6494,31.970367,3.1,3.1,55.0,62.700005,3.6,180.0,0.0
111,2019-01-14 14:00:00+00:00,25.157,92.237595,30.55281,0.1,0.1,51.0,84.3,4.0249224,259.69522,0.0
112,2019-01-14 17:00:00+00:00,25.057001,92.78873,29.880157,0.0,0.0,3.0,87.0,7.9526596,264.80566,0.0
113,2019-01-14 20:00:00+00:00,24.257,93.59231,28.978611,0.0,0.0,2.0,60.0,5.95906,244.98314,0.0
